,,,,,
primary_sample,primary_virus_count,,,THP1_sample,THP1_virus_count
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,0,,,THP1_mono_uninfected,0
primary_mono_uninfected,1,,,THP1_mono_uninfected,0
